

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   133.00000 -0.361775E+01  0.258101E+00 -0.361787E+01  0.262936E+00 -0.571177E+01   -766.843   -757.983   -753.170     133
   134.00000 -0.361775E+01  0.266023E+00 -0.361787E+01  0.270859E+00 -0.573172E+01   -787.193   -777.862   -772.644     134
   135.00000 -0.361775E+01  0.273429E+00 -0.361786E+01  0.278264E+00 -0.575037E+01   -812.492   -803.310   -798.171     135
   136.00000 -0.361775E+01  0.280143E+00 -0.361785E+01  0.284979E+00 -0.576781E+01   -835.568   -826.411   -821.312     136
   137.00000 -0.361775E+01  0.285132E+00 -0.361781E+01  0.289967E+00 -0.578422E+01   -857.570   -848.453   -843.393     137
   138.00000 -0.361775E+01  0.288041E+00 -0.361777E+01  0.292876E+00 -0.579968E+01   -876.673   -867.718   -862.822     138
   139.00000 -0.361775E+01  0.288925E+00 -0.361773E+01  0.293760E+00 -0.581433E+01   -893.116   -884.401   -879.748     139
   140.00000 -0.361775E+01  0.288925E+00 -0.361771E+01  0.293803E+00 -0.582829E+01   -906.937   -898.494   -894.116     140
   141.00000 -0.361775E+01  0.288925E+00 -0.361771E+01  0.293848E+00 -0.584165E+01   -919.625   -911.340   -907.121     141
   142.00000 -0.361775E+01  0.288925E+00 -0.361771E+01  0.293893E+00 -0.585442E+01   -931.827   -923.571   -919.381     142
   143.00000 -0.361775E+01  0.288925E+00 -0.361771E+01  0.293937E+00 -0.586663E+01   -943.463   -935.216   -931.034     143
   144.00000 -0.361775E+01  0.288925E+00 -0.361771E+01  0.293982E+00 -0.587831E+01   -954.606   -946.360   -942.179     144
   145.00000 -0.361775E+01  0.288925E+00 -0.361771E+01  0.294027E+00 -0.588948E+01   -965.257   -957.013   -952.833     145
   146.00000 -0.361775E+01  0.288925E+00 -0.361771E+01  0.294072E+00 -0.590016E+01   -975.447   -967.205   -963.026     146
   147.00000 -0.361775E+01  0.288925E+00 -0.361771E+01  0.294117E+00 -0.591038E+01   -985.192   -976.952   -972.775     147
   148.00000 -0.361775E+01  0.288925E+00 -0.361771E+01  0.294162E+00 -0.592015E+01   -994.514   -986.277   -982.101     148
   149.00000 -0.361775E+01  0.289258E+00 -0.361772E+01  0.294497E+00 -0.592949E+01  -1003.574   -995.281   -991.077     149
   150.00000 -0.361775E+01  0.289564E+00 -0.361772E+01  0.294803E+00 -0.593838E+01  -1014.503  -1005.782  -1001.166     150
   151.00000 -0.361775E+01  0.290056E+00 -0.361772E+01  0.295296E+00 -0.594707E+01  -1026.460  -1018.048  -1013.715     151
   152.00000 -0.361775E+01  0.291117E+00 -0.361773E+01  0.296356E+00 -0.595555E+01  -1038.591  -1030.155  -1025.797     152
