

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   176.00000 -0.361775E+01  0.441727E+00 -0.361853E+01  0.412310E+00 -0.769459E+01  -2248.500  -2239.851  -2235.218     176
   177.00000 -0.361775E+01  0.445285E+00 -0.361853E+01  0.415452E+00 -0.769807E+01  -2267.115  -2257.753  -2252.384     177
   178.00000 -0.361775E+01  0.450853E+00 -0.361854E+01  0.420351E+00 -0.770146E+01  -2288.302  -2278.311  -2272.295     178
   179.00000 -0.361775E+01  0.458520E+00 -0.361855E+01  0.427066E+00 -0.770477E+01  -2315.426  -2304.366  -2297.251     179
   180.00000 -0.361775E+01  0.467560E+00 -0.361854E+01  0.434938E+00 -0.770795E+01  -2347.910  -2335.622  -2327.246     180
   181.00000 -0.361775E+01  0.479423E+00 -0.361855E+01  0.445206E+00 -0.771100E+01  -2383.284  -2369.980  -2360.562     181
   182.00000 -0.361775E+01  0.488780E+00 -0.361854E+01  0.453244E+00 -0.771390E+01  -2427.025  -2411.906  -2400.633     182
   183.00000 -0.361775E+01  0.497833E+00 -0.361854E+01  0.460975E+00 -0.771666E+01  -2458.977  -2444.578  -2434.044     183
   184.00000 -0.361775E+01  0.507591E+00 -0.361854E+01  0.469258E+00 -0.771930E+01  -2492.545  -2478.126  -2467.570     184
   185.00000 -0.361775E+01  0.513432E+00 -0.361853E+01  0.474185E+00 -0.772180E+01  -2527.062  -2512.120  -2501.035     185
   186.00000 -0.361775E+01  0.517125E+00 -0.361853E+01  0.477288E+00 -0.772421E+01  -2547.046  -2534.025  -2524.904     186
   187.00000 -0.361775E+01  0.519565E+00 -0.361853E+01  0.479333E+00 -0.772654E+01  -2563.491  -2551.912  -2544.269     187
   188.00000 -0.361775E+01  0.520564E+00 -0.361852E+01  0.480167E+00 -0.772882E+01  -2575.965  -2565.492  -2558.981     188
   189.00000 -0.361775E+01  0.520564E+00 -0.361852E+01  0.480167E+00 -0.773106E+01  -2584.584  -2575.200  -2569.808     189
   190.00000 -0.361775E+01  0.520678E+00 -0.361852E+01  0.480262E+00 -0.773326E+01  -2590.810  -2582.261  -2577.728     190
   191.00000 -0.361775E+01  0.520766E+00 -0.361851E+01  0.480336E+00 -0.773544E+01  -2598.124  -2589.724  -2585.344     191
   192.00000 -0.361775E+01  0.520766E+00 -0.361851E+01  0.480336E+00 -0.773759E+01  -2604.959  -2596.642  -2592.347     192
   193.00000 -0.361775E+01  0.520766E+00 -0.361851E+01  0.480336E+00 -0.773971E+01  -2611.632  -2603.374  -2599.138     193
   194.00000 -0.361775E+01  0.520793E+00 -0.361851E+01  0.480358E+00 -0.774181E+01  -2618.241  -2609.997  -2605.777     194
   195.00000 -0.361775E+01  0.520793E+00 -0.361850E+01  0.480358E+00 -0.774388E+01  -2624.867  -2616.613  -2612.382     195
   196.00000 -0.361775E+01  0.520793E+00 -0.361850E+01  0.480358E+00 -0.774593E+01  -2631.293  -2623.052  -2618.836     196
   197.00000 -0.361775E+01  0.521385E+00 -0.361850E+01  0.480847E+00 -0.774795E+01  -2637.682  -2629.443  -2625.228     197
